ToyCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.5902,0.498,0.6824,0.5063157894736842,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.5902000000000001,0.5063157894736842,0.5,1.0,0.6666666666666666
harmonic mean,,0.5757966790918333,0.5063157894736842,0.5,1.0,0.6666666666666666
source harmonic mean,,0.498,0.5063157894736842,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6824,0.5063157894736842,0.5,1.0,0.6666666666666666

ToyDrone
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6003000000000001,0.5854,0.6152000000000001,0.5552631578947369,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6003000000000001,0.5552631578947369,0.5,1.0,0.6666666666666666
harmonic mean,,0.5999301682492089,0.5552631578947369,0.5,1.0,0.6666666666666666
source harmonic mean,,0.5854,0.5552631578947369,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6152000000000001,0.5552631578947369,0.5,1.0,0.6666666666666666

ToyNscale
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.9123000000000001,0.9261999999999999,0.8984,0.7757894736842106,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.9122999999999999,0.7757894736842106,0.5,1.0,0.6666666666666666
harmonic mean,,0.912088216595418,0.7757894736842106,0.5,1.0,0.6666666666666666
source harmonic mean,,0.9261999999999999,0.7757894736842106,0.5,1.0,0.6666666666666666
target harmonic mean,,0.8983999999999999,0.7757894736842106,0.5,1.0,0.6666666666666666

ToyTank
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6874,0.8126,0.5622,0.6331578947368421,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6874,0.6331578947368421,0.5,1.0,0.6666666666666666
harmonic mean,,0.664596624963631,0.6331578947368421,0.5,1.0,0.6666666666666666
source harmonic mean,,0.8126000000000001,0.6331578947368421,0.5,1.0,0.6666666666666666
target harmonic mean,,0.5622,0.6331578947368421,0.5,1.0,0.6666666666666666

ToyTrain
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6222,0.6326000000000002,0.6117999999999999,0.531578947368421,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6222000000000001,0.531578947368421,0.5,1.0,0.6666666666666666
harmonic mean,,0.6220261652201864,0.531578947368421,0.5,1.0,0.6666666666666666
source harmonic mean,,0.6326000000000002,0.531578947368421,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6117999999999999,0.531578947368421,0.5,1.0,0.6666666666666666

Vacuum
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.916,0.9062000000000001,0.9258000000000001,0.8247368421052631,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.9160000000000001,0.8247368421052631,0.5,1.0,0.6666666666666666
harmonic mean,,0.9158951528384282,0.8247368421052632,0.5,1.0,0.6666666666666666
source harmonic mean,,0.9062000000000001,0.8247368421052632,0.5,1.0,0.6666666666666666
target harmonic mean,,0.9258000000000001,0.8247368421052632,0.5,1.0,0.6666666666666666

bandsaw
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6456692913385828,0.821304436720507,0.4495433789954338,0.5493587814861283,0.37383177570093457,0.3548387096774194,1.0,1.0,0.5442176870748299,0.5238095238095238
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6354239078579704,0.5493587814861283,0.36433524268917694,1.0,0.5340136054421769
harmonic mean,,0.5810482846197915,0.5493587814861283,0.3640877120397187,1.0,0.5338186229905976
source harmonic mean,,0.821304436720507,0.5493587814861283,0.37383177570093457,1.0,0.5442176870748299
target harmonic mean,,0.44954337899543373,0.5493587814861283,0.3548387096774194,1.0,0.5238095238095238

bearing
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7404000000000001,0.7966,0.6841999999999999,0.5352631578947369,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.7404,0.5352631578947369,0.5,1.0,0.6666666666666666
harmonic mean,,0.7361341437061047,0.5352631578947369,0.5,1.0,0.6666666666666666
source harmonic mean,,0.7966,0.5352631578947369,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6841999999999999,0.5352631578947369,0.5,1.0,0.6666666666666666

fan
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7646,0.7809999999999999,0.7482,0.5563157894736842,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
