ToyCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6034999999999999,0.5266000000000001,0.6803999999999999,0.48894736842105263,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6034999999999999,0.48894736842105263,0.5,1.0,0.6666666666666666
harmonic mean,,0.5937011433305717,0.4889473684210527,0.5,1.0,0.6666666666666666
source harmonic mean,,0.5266000000000001,0.4889473684210527,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6803999999999999,0.4889473684210527,0.5,1.0,0.6666666666666666

ToyDrone
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6272,0.6654,0.5890000000000001,0.5489473684210526,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6272,0.5489473684210526,0.5,1.0,0.6666666666666666
harmonic mean,,0.6248734056122449,0.5489473684210526,0.5,1.0,0.6666666666666666
source harmonic mean,,0.6654,0.5489473684210526,0.5,1.0,0.6666666666666666
target harmonic mean,,0.5890000000000001,0.5489473684210526,0.5,1.0,0.6666666666666666

ToyNscale
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.9316,0.9272,0.936,0.8468421052631578,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.9316,0.8468421052631578,0.5,1.0,0.6666666666666666
harmonic mean,,0.9315792185487333,0.8468421052631577,0.5,1.0,0.6666666666666666
source harmonic mean,,0.9272,0.8468421052631577,0.5,1.0,0.6666666666666666
target harmonic mean,,0.936,0.8468421052631577,0.5,1.0,0.6666666666666666

ToyTank
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6489,0.7728,0.5249999999999999,0.6021052631578947,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6489,0.6021052631578947,0.5,1.0,0.6666666666666666
harmonic mean,,0.6252427184466018,0.6021052631578947,0.5,1.0,0.6666666666666666
source harmonic mean,,0.7727999999999999,0.6021052631578947,0.5,1.0,0.6666666666666666
target harmonic mean,,0.5249999999999999,0.6021052631578947,0.5,1.0,0.6666666666666666

ToyTrain
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6271,0.6319999999999999,0.6222,0.5205263157894737,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6271,0.5205263157894737,0.5,1.0,0.6666666666666666
harmonic mean,,0.627061712645511,0.5205263157894737,0.5,1.0,0.6666666666666666
source harmonic mean,,0.6319999999999999,0.5205263157894737,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6222,0.5205263157894737,0.5,1.0,0.6666666666666666

Vacuum
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.8757999999999999,0.8708,0.8808,0.763157894736842,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.8758,0.763157894736842,0.5,1.0,0.6666666666666666
harmonic mean,,0.8757714546700159,0.763157894736842,0.5,1.0,0.6666666666666666
source harmonic mean,,0.8708,0.763157894736842,0.5,1.0,0.6666666666666666
target harmonic mean,,0.8808000000000001,0.763157894736842,0.5,1.0,0.6666666666666666

bandsaw
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6685362959767015,0.8429768963402167,0.4737442922374429,0.5465202754486259,0.37383177570093457,0.3548387096774194,1.0,1.0,0.5442176870748299,0.5238095238095238
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6583605942888298,0.5465202754486259,0.36433524268917694,1.0,0.5340136054421769
harmonic mean,,0.6065908205830599,0.5465202754486259,0.3640877120397187,1.0,0.5338186229905976
source harmonic mean,,0.8429768963402167,0.5465202754486259,0.37383177570093457,1.0,0.5442176870748299
target harmonic mean,,0.47374429223744297,0.5465202754486259,0.3548387096774194,1.0,0.5238095238095238

bearing
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7045,0.7549999999999999,0.6539999999999999,0.5484210526315789,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.7044999999999999,0.5484210526315789,0.5,1.0,0.6666666666666666
harmonic mean,,0.7008800567778565,0.5484210526315789,0.5,1.0,0.6666666666666666
source harmonic mean,,0.7549999999999999,0.5484210526315789,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6539999999999999,0.5484210526315789,0.5,1.0,0.6666666666666666

fan
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.7858,0.7843999999999999,0.7871999999999999,0.5715789473684211,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
